KOSA_Admin,KOSA@Adm#2025,admin,Admin Dept,requests_admin.txt
EngDeptHead01,EngHd01!@#,head,Engineering Dept,engineering_dept_requests.txt
EngDept01,Eng01$Stf!,staff,Engineering Dept,engineering_dept_requests.txt
ITDeptHead02,ITHd02#@!,head,IT Dept,it_dept_requests.txt
ITDept02,IT02*Stf$,staff,IT Dept,it_dept_requests.txt
FinDeptHead03,FinHd03$%!,head,Financial Dept,financial_dept_requests.txt
FinDept03,Fin03@Stf*,staff,Financial Dept,financial_dept_requests.txt
HRDeptHead04,HRHd04!*#,head,Human Resource Dept,human_resource_dept_requests.txt
HRDept04,HR04$Stf!,staff,Human Resource Dept,human_resource_dept_requests.txt
LogDeptHead05,LogHd05!$#,head,Logistics Dept,logistics_dept_requests.txt
LogDept05,Log05@Stf*,staff,Logistics Dept,logistics_dept_requests.txt
LCCDaragaHead06,LCCDRP06!@#,head,LCC Daraga Branch,lcc_daraga_branch_requests.txt
LCCDaraga06,LCCDRPstaff06@#$,staff,LCC Daraga Branch,lcc_daraga_branch_requests.txt
LCCAyalaHead07,LCCAyalaHd07*&^,head,LCC Ayala Branch,lcc_ayala_branch_requests.txt
LCCAyala07,LCCAyalast07!@#,staff,LCC Ayala Branch,lcc_ayala_branch_requests.txt
